h[m];Q[m3.s-1];Q_uncertainty[%]
0.37;0.043;10
0.385;0.09;10
0.39;0.059;10
0.412;0.12;10
0.42;0.256;10
0.44;0.219;10
0.455;0.269;10
0.48;0.627;10
0.48;0.393;10
0.481;0.56;10
0.485;0.601;10
0.49;0.651;10
0.51;0.859;10
0.512;0.804;10
0.518;0.619;10
0.525;0.788;10
0.53;0.751;10
0.545;1.07;10
0.546;0.924;10
0.55;1.08;10
0.55;1.31;10
0.575;1.34;10
0.62;2.05;10
0.64;2.28;10
0.71;3.1;10
0.745;3.81;10
0.75;3.75;10
0.775;4.88;10
0.791;4.48;10
0.86;5.98;10
0.87;6.45;10
0.89;6.13;10
0.97;8.04;10
1.025;9.04;10
1.047;8.59;10
1.05;10.6;10
1.1;11.5;10
1.11;10.8;10
1.175;11.1;10
1.19;10.3;10
1.23;13.6;10
1.385;15.5;10
1.635;18.6;10
1.832;20.9;10
2.015;22.7;10
2.05;21.4;10
2.05;21;10
2.07;24.4;10
2.2;25.5;10
2.3;24.1;10
2.44;29.2;10
2.455;28.4;10
2.63;35.4;10
2.665;40.4;10
2.775;46.1;10
3.075;76;10
3.09;60.5;10
3.16;77.8;10
