H;uH;Q;uQ;Active
-0.18;0;5;5;1
-0.16;0;4.8;5;1
0.22;0;24;5;1
0.22;0;23.4;5;1
0.27;0;24;5;1
0.27;0;25;5;1
0.53;0;44.7;5;1
0.54;0;39.4;5;1
0.54;0;45.2;5;1
0.55;0;40.4;5;1
0.56;0;46.4;5;1
0.61;0;46;5;1
0.62;0;47.5;5;1
0.74;0;58.1;5;1
0.8;0;67.1;7;1
0.8;0;65.2;5;1
0.81;0;68.1;5;1
0.81;0;67.4;5;1
0.82;0;68.8;5;1
0.88;0;77.9;7;1
0.9;0;75.5;7;1
0.95;0;69.5;10;1
0.97;0;75.4;10;1
0.97;0;87.6;7;1
2.23;0;363.91;20;1
4.09;0;1017.7;20;0
2.64;0;525.13;20;1
6.38;0.5;1889.3;20;1
5.02;0.5;1820.5;20;1
1.93;0;280.76;20;1
2.51;0;371.81;15;1
2.08;0;331;15;1
2.15;0;336;15;1
3.21;0;825;15;1
3.18;0;715;15;1
3.13;0;725;15;1
2.96;0;705;15;1
2.85;0;642;15;1
