year;month;day;hour;min;sec;h;uh;bHindx;bH
1980.00;1.00;1.00;0.00;0.00;0.00;0.96;0.025;0.00;0.00
1980.00;1.00;1.00;0.00;40.00;0.00;1;0.025;0.00;0.00
1980.00;1.00;1.00;2.00;11.00;0.00;1.02;0.025;0.00;0.00
1980.00;1.00;1.00;5.00;28.00;0.00;1.01;0.025;0.00;0.00
1980.00;1.00;1.00;8.00;28.00;0.00;1.06;0.025;0.00;0.00
1980.00;1.00;1.00;12.00;5.00;0.00;1.01;0.025;0.00;0.00
1980.00;1.00;1.00;13.00;53.00;0.00;1.04;0.025;0.00;0.00
1980.00;1.00;1.00;18.00;30.00;0.00;0.92;0.025;0.00;0.00
1980.00;1.00;1.00;22.00;19.00;0.00;0.87;0.025;0.00;0.00
1980.00;1.00;2.00;0.00;57.00;0.00;1;0.025;0.00;0.00
1980.00;1.00;2.00;3.00;1.00;0.00;1.02;0.025;0.00;0.00
1980.00;1.00;2.00;6.00;30.00;0.00;1.02;0.025;0.00;0.00
1980.00;1.00;2.00;13.00;46.00;0.00;1.01;0.025;0.00;0.00
1980.00;1.00;2.00;16.00;50.00;0.00;1;0.025;0.00;0.00
1980.00;1.00;2.00;18.00;33.00;0.00;0.97;0.025;0.00;0.00
1980.00;1.00;2.00;21.00;33.00;0.00;0.88;0.025;0.00;0.00
1980.00;1.00;2.00;23.00;9.00;0.00;0.88;0.025;0.00;0.00
1980.00;1.00;3.00;3.00;28.00;0.00;1;0.025;0.00;0.00
1980.00;1.00;3.00;4.00;43.00;0.00;1;0.025;0.00;0.00
1980.00;1.00;3.00;7.00;7.00;0.00;0.98;0.025;0.00;0.00
1980.00;1.00;3.00;9.00;31.00;0.00;1.06;0.025;0.00;0.00
1980.00;1.00;3.00;14.00;38.00;0.00;0.99;0.025;0.00;0.00
1980.00;1.00;3.00;21.00;57.00;0.00;0.98;0.025;0.00;0.00
1980.00;1.00;4.00;1.00;10.00;0.00;1.05;0.025;0.00;0.00
1980.00;1.00;4.00;7.00;9.00;0.00;0.98;0.025;0.00;0.00
1980.00;1.00;4.00;9.00;2.00;0.00;0.98;0.025;0.00;0.00
1980.00;1.00;4.00;11.00;54.00;0.00;1.07;0.025;0.00;0.00
1980.00;1.00;4.00;20.00;44.00;0.00;0.93;0.025;0.00;0.00
1980.00;1.00;4.00;23.00;55.00;0.00;0.92;0.025;0.00;0.00
1980.00;1.00;5.00;1.00;35.00;0.00;0.96;0.025;0.00;0.00
1980.00;1.00;5.00;3.00;30.00;0.00;0.98;0.025;0.00;0.00
1980.00;1.00;5.00;5.00;15.00;0.00;0.96;0.025;0.00;0.00
1980.00;1.00;5.00;7.00;9.00;0.00;0.99;0.025;0.00;0.00
1980.00;1.00;5.00;10.00;39.00;0.00;0.99;0.025;0.00;0.00
1980.00;1.00;5.00;14.00;47.00;0.00;0.89;0.025;0.00;0.00
1980.00;1.00;5.00;19.00;36.00;0.00;0.7;0.025;0.00;0.00
1980.00;1.00;6.00;0.00;7.00;0.00;0.65;0.025;0.00;0.00
1980.00;1.00;6.00;8.00;29.00;0.00;0.6;0.025;0.00;0.00
1980.00;1.00;7.00;6.00;11.00;0.00;0.56;0.025;0.00;0.00
1980.00;1.00;7.00;11.00;25.00;0.00;0.57;0.025;0.00;0.00
1980.00;1.00;7.00;21.00;24.00;0.00;0.55;0.025;0.00;0.00
1980.00;1.00;8.00;0.00;21.00;0.00;0.78;0.025;0.00;0.00
1980.00;1.00;8.00;3.00;23.00;0.00;0.84;0.025;0.00;0.00
1980.00;1.00;8.00;10.00;17.00;0.00;0.83;0.025;0.00;0.00
1980.00;1.00;8.00;14.00;52.00;0.00;0.71;0.025;0.00;0.00
1980.00;1.00;8.00;17.00;2.00;0.00;0.73;0.025;0.00;0.00
1980.00;1.00;8.00;21.00;33.00;0.00;0.63;0.025;0.00;0.00
1980.00;1.00;9.00;0.00;57.00;0.00;0.9;0.025;0.00;0.00
1980.00;1.00;9.00;2.00;21.00;0.00;0.94;0.025;0.00;0.00
1980.00;1.00;9.00;6.00;57.00;0.00;0.93;0.025;0.00;0.00
1980.00;1.00;9.00;8.00;12.00;0.00;0.96;0.025;0.00;0.00
1980.00;1.00;9.00;9.00;57.00;0.00;0.96;0.025;0.00;0.00
1980.00;1.00;9.00;16.00;35.00;0.00;0.7;0.025;0.00;0.00
1980.00;1.00;9.00;20.00;35.00;0.00;0.6;0.025;0.00;0.00
1980.00;1.00;9.00;23.00;6.00;0.00;0.78;0.025;0.00;0.00
1980.00;1.00;10.00;0.00;50.00;0.00;0.83;0.025;0.00;0.00
1980.00;1.00;10.00;2.00;26.00;0.00;0.91;0.025;0.00;0.00
1980.00;1.00;10.00;4.00;42.00;0.00;0.91;0.025;0.00;0.00
1980.00;1.00;10.00;6.00;30.00;0.00;0.9;0.025;0.00;0.00
1980.00;1.00;10.00;8.00;23.00;0.00;0.92;0.025;0.00;0.00
1980.00;1.00;10.00;10.00;22.00;0.00;0.92;0.025;0.00;0.00
1980.00;1.00;10.00;13.00;36.00;0.00;0.84;0.025;0.00;0.00
1980.00;1.00;10.00;15.00;44.00;0.00;0.8;0.025;0.00;0.00
1980.00;1.00;10.00;19.00;50.00;0.00;0.64;0.025;0.00;0.00
1980.00;1.00;11.00;0.00;38.00;0.00;0.94;0.025;0.00;0.00
1980.00;1.00;11.00;3.00;2.00;0.00;0.94;0.025;0.00;0.00
1980.00;1.00;11.00;5.00;32.00;0.00;0.9;0.025;0.00;0.00
1980.00;1.00;11.00;7.00;17.00;0.00;0.89;0.025;0.00;0.00
1980.00;1.00;11.00;9.00;21.00;0.00;0.98;0.025;0.00;0.00
1980.00;1.00;11.00;14.00;25.00;0.00;0.88;0.025;0.00;0.00
1980.00;1.00;11.00;19.00;53.00;0.00;0.68;0.025;0.00;0.00
1980.00;1.00;11.00;22.00;12.00;0.00;0.79;0.025;0.00;0.00
1980.00;1.00;12.00;0.00;48.00;0.00;0.88;0.025;0.00;0.00
1980.00;1.00;12.00;3.00;7.00;0.00;0.87;0.025;0.00;0.00
1980.00;1.00;12.00;5.00;45.00;0.00;0.82;0.025;0.00;0.00
1980.00;1.00;12.00;7.00;17.00;0.00;0.84;0.025;0.00;0.00
1980.00;1.00;12.00;9.00;18.00;0.00;0.93;0.025;0.00;0.00
1980.00;1.00;12.00;11.00;35.00;0.00;0.88;0.025;0.00;0.00
1980.00;1.00;12.00;16.00;27.00;0.00;0.71;0.025;0.00;0.00
1980.00;1.00;12.00;19.00;20.00;0.00;0.66;0.025;0.00;0.00
1980.00;1.00;12.00;23.00;45.00;0.00;0.54;0.025;0.00;0.00
1980.00;1.00;13.00;2.00;32.00;0.00;0.51;0.025;0.00;0.00
1980.00;1.00;13.00;4.00;27.00;0.00;0.58;0.025;0.00;0.00
1980.00;1.00;13.00;6.00;12.00;0.00;0.6;0.025;0.00;0.00
1980.00;1.00;13.00;8.00;28.00;0.00;0.76;0.025;0.00;0.00
1980.00;1.00;13.00;11.00;3.00;0.00;0.88;0.025;0.00;0.00
1980.00;1.00;13.00;13.00;26.00;0.00;0.88;0.025;0.00;0.00
1980.00;1.00;13.00;14.00;54.00;0.00;0.84;0.025;0.00;0.00
1980.00;1.00;13.00;18.00;54.00;0.00;0.66;0.025;0.00;0.00
1980.00;1.00;13.00;22.00;59.00;0.00;0.55;0.025;0.00;0.00
1980.00;1.00;14.00;2.00;19.00;0.00;0.51;0.025;0.00;0.00
1980.00;1.00;14.00;4.00;11.00;0.00;0.48;0.025;0.00;0.00
1980.00;1.00;14.00;5.00;42.00;0.00;0.48;0.025;0.00;0.00
1980.00;1.00;14.00;7.00;20.00;0.00;0.52;0.025;0.00;0.00
1980.00;1.00;14.00;9.00;25.00;0.00;0.52;0.025;0.00;0.00
1980.00;1.00;14.00;12.00;53.00;0.00;0.49;0.025;0.00;0.00
1980.00;1.00;14.00;15.00;21.00;0.00;0.58;0.025;0.00;0.00
1980.00;1.00;14.00;16.00;55.00;0.00;0.59;0.025;0.00;0.00
1980.00;1.00;14.00;19.00;10.00;0.00;0.59;0.025;0.00;0.00
1980.00;1.00;14.00;22.00;7.00;0.00;0.54;0.025;0.00;0.00
1980.00;1.00;15.00;1.00;0.00;0.00;0.9;0.025;0.00;0.00
1980.00;1.00;15.00;1.00;58.00;0.00;0.93;0.025;0.00;0.00
1980.00;1.00;15.00;3.00;43.00;0.00;0.93;0.025;0.00;0.00
1980.00;1.00;15.00;5.00;49.00;0.00;0.9;0.025;0.00;0.00
1980.00;1.00;15.00;7.00;43.00;0.00;0.9;0.025;0.00;0.00
1980.00;1.00;15.00;9.00;53.00;0.00;0.96;0.025;0.00;0.00
1980.00;1.00;15.00;13.00;17.00;0.00;0.83;0.025;0.00;0.00
1980.00;1.00;15.00;15.00;30.00;0.00;0.78;0.025;0.00;0.00
1980.00;1.00;15.00;20.00;38.00;0.00;0.62;0.025;0.00;0.00
1980.00;1.00;15.00;23.00;39.00;0.00;0.76;0.025;0.00;0.00
1980.00;1.00;16.00;1.00;19.00;0.00;0.77;0.025;0.00;0.00
1980.00;1.00;16.00;7.00;17.00;0.00;0.77;0.025;0.00;0.00
1980.00;1.00;16.00;11.00;2.00;0.00;0.67;0.025;0.00;0.00
1980.00;1.00;16.00;13.00;20.00;0.00;0.69;0.025;0.00;0.00
1980.00;1.00;16.00;17.00;26.00;0.00;0.63;0.025;0.00;0.00
1980.00;1.00;16.00;21.00;27.00;0.00;0.56;0.025;0.00;0.00
1980.00;1.00;16.00;23.00;31.00;0.00;0.72;0.025;0.00;0.00
1980.00;1.00;17.00;1.00;53.00;0.00;0.75;0.025;0.00;0.00
1980.00;1.00;17.00;5.00;21.00;0.00;0.75;0.025;0.00;0.00
1980.00;1.00;17.00;7.00;14.00;0.00;0.8;0.025;0.00;0.00
1980.00;1.00;17.00;10.00;27.00;0.00;0.79;0.025;0.00;0.00
1980.00;1.00;17.00;14.00;12.00;0.00;0.67;0.025;0.00;0.00
1980.00;1.00;17.00;20.00;25.00;0.00;0.57;0.025;0.00;0.00
1980.00;1.00;17.00;21.00;57.00;0.00;0.56;0.025;0.00;0.00
1980.00;1.00;18.00;0.00;44.00;0.00;0.85;0.025;0.00;0.00
1980.00;1.00;18.00;1.00;52.00;0.00;0.9;0.025;0.00;0.00
