H;uH;Q;uQ;Active
0.37;0;0.043;10;1
0.385;0;0.09;10;1
0.39;0;0.059;10;1
0.412;0;0.12;10;1
0.42;0;0.256;10;1
0.44;0;0.219;10;1
0.455;0;0.269;10;1
0.48;0;0.627;10;1
0.48;0;0.393;10;1
0.481;0;0.56;10;1
0.485;0;0.601;10;1
0.49;0;0.651;10;1
0.51;0;0.859;10;1
0.512;0;0.804;10;1
0.518;0;0.619;10;1
0.525;0;0.788;10;1
0.53;0;0.751;10;1
0.545;0;1.07;10;1
0.546;0;0.924;10;1
0.55;0;1.08;10;1
0.55;0;1.31;10;1
0.575;0;1.34;10;1
0.62;0;2.05;10;1
0.64;0;2.28;10;1
0.71;0;3.1;10;1
0.745;0;3.81;10;1
0.75;0;3.75;10;1
0.775;0;4.88;10;1
0.791;0;4.48;10;1
0.86;0;5.98;10;1
0.87;0;6.45;10;1
0.89;0;6.13;10;1
0.97;0;8.04;10;1
1.025;0;9.04;10;1
1.047;0;8.59;10;1
1.05;0;10.6;10;1
1.1;0;11.5;10;1
1.11;0;10.8;10;1
1.175;0;11.1;10;1
1.19;0;10.3;10;1
1.23;0;13.6;10;1
1.385;0;15.5;10;1
1.635;0;18.6;10;1
1.832;0;20.9;10;1
2.015;0;22.7;10;1
2.05;0;21.4;10;1
2.05;0;21;10;1
2.07;0;24.4;10;1
2.2;0;25.5;10;1
2.3;0;24.1;10;1
2.44;0;29.2;10;1
2.455;0;28.4;10;1
2.63;0;35.4;10;1
2.665;0;40.4;10;1
2.775;0;46.1;10;1
3.075;0;76;10;1
3.09;0;60.5;10;0
3.16;0;77.8;10;1
