key_DO_NOT_MODIFY;fr;en;es;ab;cn;ru;am;bg;br;cz;de;et;fa;fi;hb;it;jp;ko;mg;nl;pl;ro;sb;sk;sl;sw;uk
Open;Ouvrir;Open;Abrir;فتح;打开;Открыть;Բաց;Отвори;Abrir;Otevřít;Öffnen;Avatud;باز کردن;Avaa;לִפְתוֹחַ;Apri;開く;열기;Megnyitás;Open;Otwórz;Deschideți;Отвори;Otvoriť;Odpri;Öppna;Відкрити
Save;Enregistrer;Save;Guardar;يحفظ;保存;Сохранить;Պահպանել;Запиши;Salvar;Uložit;Speichern;Salvesta;ذخیره کردن;Tallenna;לשמור;Salva;保存;저장;Mentés;Opslaan;Zapisz;Salvați;сачувати;Uložiť;Shrani;Spara;Зберегти
SaveAs;Enregistrer sous;Save as;Guardar como;حفظ باسم;另存为;Сохранить как;Պահպանել որպես;Запиши като;Salvar como;Uložit jako;Speichern unter;Salvesta kui;ذخیره به عنوان;Tallenna nimellä;שמור כ;Salva con nome;名前を付けて保存;다른 이름으로 저장;Mentés másként;Opslaan als;Zapisz jako;Salvați ca;Сачувај као;Uložiť ako;Shrani kot;Spara som;Зберегти як
New;Nouveau;New;Nuevo;جديد;新建;Новый;Նոր;Нов;Novo;Nový;Neu;Uus;جدید;Uusi;חָדָשׁ;Nuovo;新規作成;새 작업;Új;Nieuw;Nowy;Nou;Нова;Nový;Novo;Ny;Новий
Quit;Quitter;Quit;Salir;يترك;退出;Выйти;Դուրս գալ;Излез;Sair;Odejít;Beenden;Lõpeta;خروج;Lopeta;לְהַפְסִיק;Esci;終了する;종료;Kilépés;Afsluiten;Zakończ;Renunță la;Одустати;Ukončiť;Končaj;Avsluta;Вийти
File;Fichier;File;Archivo;ملف;文件;Файл;Ֆայլ;Файл;Arquivo;Soubor;Datei;Faili;فایل;Tiedosto;קוֹבֶץ;File;ファイル;파일;Fájl;Bestand;Plik;Fișier;Филе;Súbor;Datoteka;Fil;Файл
Browse;Parcourir;Browse;Navegar;تصفح;浏览;Просмотреть;Թերթիր;Прегледай;Navegar;Procházet;Durchsuchen;Sirvi;مسیر فایل;Selaa;לְדַפדֵף;Sfoglia;閲覧;검색;Böngészés;Bladeren op;Przeglądaj;Răsfoiți;Прегледај;Prehľadávať;Brskanje po;Bläddra på;Огляд
Help;Aide;Help;Ayuda;مساعدة;帮助;Помощь;Օգնություն;Помощ;Ajuda;Pomoc;Hilfe;Abi;کمک;Ohje;עֶזרָה;Aiuto;ヘルプ;도움말;Súgó;Help;Pomoc;Ajutor;Помоћ;Pomoc;Pomoč;Hjälp;Допомога
About;A propos;About;Acerca de;حول;关于;О;Մասին;Относно;Sobre;O;Über;Umbes;درباره;Tietoja;אודות;Informazioni;本ソフトについて;정보;A programról;Over;Informacje o;Despre;О томе;O programe;O;Om;Про компанію
Apply;Appliquer;Apply;Aplicar;يتقدم;确认;Применить;Դիմել;Приложи;Aplicar;Aplikovat;Anwenden;Rakenda;اعمال کردن;Hae;לבקש;Applica;適用;적용;Alkalmaz;Toepassen;Zastosuj;Aplicați;Применити;Použiť;Uporabi;Tillämpa;Подати заявку
Cancel;Annuler;Cancel;Cancelar;يلغي;取消;Отменить;Չեղարկել;Откажи;Cancelar;zrušení;Abbrechen;Tühista;لغو کردن;Peruuta;לְבַטֵל;Cancella;キャンセル;취소;Mégsem;Annuleren;Anuluj;Anulează;Поништити, отказати;Zrušiť;Prekliči;Avbryt;Скасувати
Add;Ajouter;Add;Añadir;يضيف;添加;Добавить;Ավելացնել;Добави;Adicionar;Přidat;Hinzufügen;Lisa;اضافه کردن;Lisää;לְהוֹסִיף;Aggiungi;追加;추가;Hozzáadás;Toevoegen;Dodaj;Adăugați;Додати;Pridať;Dodaj;Lägg till;Додати
Delete;Effacer;Delete;Borrar;حذف;删除;Удалить;Ջնջել;Изтрий;Excluir;Vymazat;Löschen;Kustuta;حذف کردن;Poista;לִמְחוֹק;Elimina;削除;삭제;Törlés;Verwijderen;Usuń;Ștergeți;Избриши;Odstrániť;Briši;Radera;Видалити
DeleteItem;Effacer l'objet sélectionné;Delete selected item;Eliminar el objeto seleccionado;حذف العنصر المحدد;删除所选项目;Удалить выбранный элемент;Ջնջել ընտրված տարրը;Изтрий избрания обект;Excluir item selecionado;Smazat vybranou položku;Löscht ausgewähltes Objekt;Kustuta valitud objekt;حذف آیتم انتخاب شده;Poista valittu kohde;מחק את הפריט שנבחר;Elimina l'oggetto selezionato;選択した項目を削除する;선택 항목 삭제;Kijelölt elem törlése;Geselecteerd item verwijderen;Usuń wybrany element;Ștergeți elementul selectat;Избришите изабрану ставку;Odstrániť vybranú položku;Brisanje izbranega elementa;Radera valt objekt;Видалити вибраний товар
DeleteAll;Tout effacer;Delete all;Borrar todo;حذف الكل;删除所有;Удалить все;Ջնջել բոլորը;Изтрий всичко;Excluir tudo;Smazat všechny;Alle löschen;Kustuta kõik;حذف همه ;Poista kaikki;מחק הכל;Cancella tutto;すべて削除;모두 삭제;Összes törlése;Alles verwijderen;Usuń wszystko;Ștergeți toate;Обриши све;Vymazať všetko;Izbriši vse;Radera alla;Видалити все
Rename;Renommer;Rename;Renombrar;إعادة تسمية;重命名;Переименовать;Վերանվանել;Преименувай;Renomear;Přejmenovat;Umbenennen;Nimetage ümber;تغییر نام ;Nimeä uudelleen;שנה שם;Rinomina;名前の変更;이름 변경;Átnevezés;Hernoemen;Zmień nazwę;Redenumiți;Преименуј;Premenovať;Preimenuj;Byt namn på;Перейменувати
Export;Exporter;Export;Exportar;يصدّر;导出;Экспортировать;Արտահանում;Експортирай;Exportar;Exportovat;Exportieren;Ekspordi;ارسال کردن;Vie;יְצוּא;Esporta;エクスポート;내보내기;Exportálás;Exporteren;Eksportuj;Exportați;Извоз;Exportovať;Izvozi;Exportera;Експорт
ExportValues;Exporter les valeurs;Export values;Exportar valores;قيم التصدير;导出值;Экспортировать значения;Արտահանման արժեքներ;Експортирай стойности;Exportar valores;Export hodnot;Werte exportieren;Ekspordi väärtused;ارسال مقادیر;Vie arvot;ייצוא ערכים;Esporta i valori;値のエクスポート;값 내보내기;Értékek exportálása;Waarden exporteren;Wyświetl wartości;Exportați valorile;Извези вредности;Exportovať hodnoty;Izvozi vrednosti;Exportera värden;Експорт значень
ExportEquation;Exporter l'équation;Export equation;Exportar ecuación;معادلة التصدير;导出方程;Экспортировать уравнение;Արտահանման հավասարումը;Експортирай формула;Exportar equação;Exportovat rovnice;Gleichung exportieren;Ekspordi võrrand;ارسال معادله;Vie yhtälö;משוואת ייצוא;Esporta l’equazione;方程式のエクスポート;방정식 내보내기;Egyenlet exportálása;Exporteer vergelijking;Eksportuj równanie;Exportați ecuația;Извозна једначина;Exportovať rovnicu;Izvozi enačbo;Exportera ekvation;Експортувати рівняння
ExportMCMC;Exporter les simulations MCMC;Export MCMC simulations;Exportar MCMC simulaciones;تصدير عمليات محاكاة MCMC;导出MCMC模拟;Экспортировать симуляции MCMC;Արտահանել MCMC մոդելավորում;Експортирай симулации по МСМС;Exportar MCMC simulações;Exportujte simulace MCMC;MCMC-Simulationen exportieren;MCMC simulatsioonide eksportimine;ارسال شبیه سازی های MCMC ;Vie MCMC-simulaatiot;ייצוא סימולציות MCMC;Esporta le simulazioni MCMC;MCMCシミュレーション結果のエクスポート;MCMC 시뮬레이션 내보내기;MCMC-szimulációk exportálása;Exporteer MCMC simulaties;Eksportuj symulacje MCMC;Exportați simulările MCMC;Извези МЦМЦ симулације;Exportovať simulácie MCMC;Izvozite simulacije MCMC;Exportera MCMC-simuleringar;Експортувати симуляції MCMC
Error;Erreur;Error;Error;خطأ;报错;Ошибка;Սխալ;Грешка;Erro;Chyba;Fehler;Viga;خطا;Virhe;שְׁגִיאָה;Errore;エラー;오류;Hiba;Fout;Błąd;Eroare;Грешка;Chyba;Napaka;Fel;Помилка
Message;Message;Message;Mensaje;رسالة;信息;Сообщение;Հաղորդագրություն;Съобщение;Mensagem;Zpráva;Nachricht;Teade;پیام;Viesti;הוֹדָעָה;Messaggio;メッセージ;메시지;Üzenet;Bericht;Komunikat;Mesaj;Порука;Správa;Sporočilo;Meddelande;Повідомлення
Unknown;Inconnu;Unknown;Desconocido;مجهول;未知;Неизвестно;Անհայտ;Неизвестно;Desconhecido;Neznámý;Unbekannt;Teadmata;ناشناخته;Tuntematon;לא ידוע;Sconosciuto;不明;알려지지 않은;Ismeretlen;Onbekende;Nieznany;Necunoscut;Непознат;Neznáma;Neznano;Okänd;Невідомо
Warning;Attention;Warning;Atención;تحذير;警告;Предупреждение;Զգուշացում;Внимание ;Atenção;Varování;Achtung;Hoiatus;هشدار;Varoitus;אַזהָרָה;Attenzione;警告;경고;Figyelmeztetés;Waarschuwing;Ostrzeżenie;Avertisment;Упозорење;Varovanie;Opozorilo;Varning;Попередження
Information;Information;Information;Información;معلومة;信息;Информация;Տեղեկություն;Информация;Informações;Informace;Information;Teave;اطلاعات;Tiedot;מֵידָע;Informazioni;情報;정보;Információk;Informatie;Informacja;Informații;Информације;Informácie;Informacije;Information;Інформація
Options;Options;Options;Opciones;خيارات;选项;Опции;Ընտրանքներ;Предпочитания;Opções;Možnosti;Optionen;Valikud;گزینه ها;Vaihtoehdot;אפשרויות;Opzioni;オプション;옵션;Beállítások;Opties;Opcje;Opțiuni;Опције;Možnosti;Možnosti;Alternativ;Параметри
AdvancedOptions;Options avancées;Advanced options;Opciones avanzadas;خيارات متقدمة;高级选项;Дополнительные параметры;Հավելյալ հնարավորություններ;Разширени настройки;Opções avançadas;Pokročilé možnosti;Erweiterte Optionen;Täiustatud valikud;گزینه های پیشرفته;Lisäasetukset;אפשרויות מתקדמות;Opzioni avanzate;詳細オプション;고급 옵션;Speciális beállítások;Geavanceerde opties;Opcje zaawansowane;Opțiuni avansate;Напредне опције;Rozšírené možnosti;Napredne možnosti;Avancerade alternativ;Додаткові параметри
Language;Langue;Language;Idioma;لغة;语言;Язык;Լեզու;Език;Idioma;Jazyk;Sprache;Keel;زبان;Kieli;שפה;Lingua;言語;언어;Nyelv;Taal;Język;Limba;Језик;Jazyk;Jezik;Språk;Мова
Name;Nom;Name;Nombre;اسم;姓名;Название;Անուն;Име;Nome;název;Name;Nimi;نام;Nimi;שֵׁם;Nome;名前;이름;Név;Naam;Nazwa;Nume;Име;Názov;Ime;Namn;Назва
Description;Description;Description;Descripción;وصف;描述;Описание;Նկարագրություն;Описание;Descrição;Popis;Beschreibung;Kirjeldus;شرح;Kuvaus;תיאור;Descrizione;解説;설명;Leírás;Beschrijving;Opis;Descriere;Опис;Popis;Opis;Beskrivning;Опис
Xplorer;Explorateur;Xplorer;Explorador;اكسبلورر;浏览器;Xplorer;Xplorer;Експлорър;Explorador;Xplorer;Explorer;Xplorer;جستجوگر;Xplorer;Xplorer;Esploratore;Xplorer;익스플로러;Xplorer;Xplorer;Xplorer;Xplorer;Ксплорер;Xplorer;Xplorer;Xplorer;Xplorer
Item;Objet;Item;Objeto;العنصر;项;Элемент;Նյութ;Обект;Objeto;Položka;Objekt;Objekt;مورد;Kohde;פריט;Oggetto;項目;항목;Elem;Item;Pozycja;Articol;Ставка;Položka;Element;Objekt;Елемент
TypeName;Merci de taper un nom;Please type a name;Por favor, escriba un nombre;الرجاء كتابة الاسم;请输入名字;Пожалуйста, введите имя;Խնդրում ենք մուտքագրել անուն;Моля впишете име;Por favor, digite um nome;Zadejte prosím jméno;Namen einfügen;Palun sisestage nimi;لطفا یک نام تایپ کنید.;Kirjoita nimi;הקלד שם;Per favore, scrivi un nome;名前を入力してください;이름을 입력하세요;Kérjük, írjon be egy nevet;Typ een naam;Proszę wpisać nazwę;Introduceți un nume;Унесите име;Zadajte názov;Prosimo, vnesite ime;Ange ett namn;Будь ласка, введіть назву
